PLAYER_ID,DISPLAY_FIRST_LAST,POSITION
1630214,Xavier Tillman,Forward
1631210,Jacob Toppin,Forward
1630167,Obi Toppin,Forward
1629308,Juan Toscano-Anderson,Forward
1626157,Karl-Anthony Towns,Center-Forward
1629018,Gary Trent Jr.,Guard
1631131,Oscar Tshiebwe,Forward-Center
200782,P.J. Tucker,Forward
1626167,Myles Turner,Center-Forward
1641816,Hunter Tyson,Forward
1630649,Stanley Umude,Guard
202685,Jonas Valanciunas,Center
1627832,Fred VanVleet,Guard
1629020,Jarred Vanderbilt,Forward
1630170,Devin Vassell,Guard-Forward
1628426,Sasha Vezenkov,Forward
1629216,Gabe Vincent,Guard
202696,Nikola Vucevic,Center
1641774,Tristan Vukcevic,Forward
1629731,Dean Wade,Forward-Center
1630532,Franz Wagner,Forward
1629021,Moritz Wagner,Forward-Center
1630688,Ish Wainright,Forward
1631133,Jabari Walker,Forward
1641716,Jarace Walker,Forward
1629022,Lonnie Walker IV,Guard-Forward
1641717,Cason Wallace,Guard
1641775,Jordan Walsh,Guard
203933,T.J. Warren,Forward
1629023,P.J. Washington,Forward
1631102,TyTy Washington Jr.,Guard
1629139,Yuta Watanabe,Guard-Forward
1630322,Lindy Waters III,Forward
1630570,Trendon Watford,Forward
1631212,Peyton Watson,Guard
1641705,Victor Wembanyama,Forward-Center
1631104,Blake Wesley,Guard
201566,Russell Westbrook,Guard
1629632,Coby White,Guard
1628401,Derrick White,Guard
1631298,Jack White,Forward
1641727,Dariq Whitehead,Forward
1641715,Cam Whitmore,Forward
1630598,Aaron Wiggins,Guard
203952,Andrew Wiggins,Forward
1629623,Lindell Wigginton,Guard
1631214,Alondes Williams,Guard
1630314,Brandon Williams,Guard
1629684,Grant Williams,Forward
1631114,Jalen Williams,Guard-Forward
1631119,Jaylin Williams,Forward
1629026,Kenrich Williams,Guard-Forward
1642013,Malik Williams,Center
1631109,Mark Williams,Center
1631466,Nate Williams,Guard
1630172,Patrick Williams,Forward
1630533,Ziaire Williams,Forward
1629057,Robert Williams III,Center-Forward
1631246,Vince Williams Jr.,Guard
1629627,Zion Williamson,Forward
1628391,D.J. Wilson,Forward
1630592,Jalen Wilson,Forward
1629685,Dylan Windler,Guard-Forward
1630164,James Wiseman,Center
1631209,Isaiah Wong,Guard
1626174,Christian Wood,Forward
1626153,Delon Wright,Guard
201152,Thaddeus Young,Forward
1629027,Trae Young,Guard
1630209,Omer Yurtseven,Center
203469,Cody Zeller,Forward-Center
1627826,Ivica Zubac,Center
